,precision,recall,f1-score,support
0,0.9227552649585646,0.6711828789470774,0.7771161480343194,18083.0
1,0.17428134981252605,0.552619991193307,0.26499155405405406,2271.0
accuracy,0.6579542104745996,0.6579542104745996,0.6579542104745996,0.6579542104745996
macro avg,0.5485183073855453,0.6119014350701921,0.5210538510441867,20354.0
weighted avg,0.8392441977827441,0.6579542104745996,0.7199757848168101,20354.0
