,precision,recall,f1-score,support
0,0.8895563543256684,0.9990598905048941,0.9411335694936445,18083.0
1,0.6222222222222222,0.012329370321444297,0.024179620034542316,2271.0
accuracy,0.8889653139432052,0.8889653139432052,0.8889653139432052,0.8889653139432052
macro avg,0.7558892882739453,0.5056946304131692,0.4826565947640934,20354.0
weighted avg,0.8597285163573611,0.8889653139432052,0.8388243222094928,20354.0
