,precision,recall,f1-score,support
0,0.0,0.0,0.0,1113.0
1,0.4950166112956811,0.13018785495849716,0.20615703908682118,2289.0
2,0.8442483410346385,0.9894942584901051,0.9111190266399205,24558.0
3,0.13636363636363635,0.0020604395604395605,0.0040595399188092015,1456.0
accuracy,0.8363135708457982,0.8363135708457982,0.8363135708457982,0.8363135708457982
macro avg,0.36890714717348894,0.2804356382522604,0.28033390141138775,29416.0
weighted avg,0.750091420891009,0.8363135708457982,0.7768923446020766,29416.0

