,precision,recall,f1-score,support
0,0.540341578327444,0.5164649591894174,0.5281335443948769,3553.0
1,0.9153041891797067,0.9463832257128346,0.9305842905043875,13783.0
2,0.773875415115226,0.8728717366628831,0.8203979303355203,8810.0
3,0.5141921397379913,0.28807339449541286,0.3692669541356331,3270.0
accuracy,0.7992589067174327,0.7992589067174327,0.7992589067174327,0.7992589067174327
macro avg,0.6859283305900921,0.655948329015137,0.6620956798426045,29416.0
weighted avg,0.7830677852654909,0.7992589067174327,0.7865756889290326,29416.0
