,precision,recall,f1-score,support
0,0.8889684447399376,0.9985064338235294,0.9405589675604016,17408.0
1,0.5517241379310345,0.014525646845211076,0.02830605926581159,2203.0
accuracy,0.8879710366630973,0.8879710366630973,0.8879710366630973,0.8879710366630973
macro avg,0.7203462913354861,0.5065160403343703,0.48443251341310656,19611.0
weighted avg,0.8510841345109839,0.8879710366630973,0.838081115488963,19611.0
