,precision,recall,f1-score,support
0,0.8888053324218083,0.9963979153893316,0.9395313544470741,26096.0
1,0.4161490683229814,0.020180722891566263,0.038494685435219764,3320.0
accuracy,0.8862183845526245,0.8862183845526245,0.8862183845526245,0.8862183845526245
macro avg,0.6524772003723949,0.508289319140449,0.48901301994114693,29416.0
weighted avg,0.8354595751193843,0.8862183845526245,0.837836979239046,29416.0
